run_id,arch,recipe_actual,variant,stage,transform,descriptor,n_images_paired,acc_native,acc_term_1.00,delta,ci_lo,ci_hi,max_abs_s11_diff_vs_native,chance_exact,endpoint_class
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s11_out,T3,l2,2000,0.8958452381,0.8958452381,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s12_post_norm,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s12_post_norm,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s12_post_norm,T1,centred_l2,2000,0.8881505102,0.8861020408,-0.002048469388,-0.002295918367,-0.001803571429,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s12_post_norm,T1,l2,2000,0.8891173469,0.886872449,-0.002244897959,-0.002494897959,-0.001994897959,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s12_post_norm,T2,centred_l2,2000,0.9140741758,0.9126593407,-0.001414835165,-0.001590659341,-0.001239010989,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s12_post_norm,T2,l2,2000,0.9149203297,0.9134450549,-0.001475274725,-0.001662087912,-0.001291208791,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s12_post_norm,T3,centred_l2,2000,0.9007440476,0.8993452381,-0.001398809524,-0.001598214286,-0.001205357143,0,0.005102040816,secondary
e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s12_post_norm,T3,l2,2000,0.9014880952,0.8998303571,-0.001657738095,-0.001886904762,-0.001422619048,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,hist,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,hist,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,hist,T1,centred_l2,2000,0.904244898,0.9029923469,-0.00125255102,-0.001454081633,-0.001048469388,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,hist,T1,l2,2000,0.9034081633,0.9019719388,-0.00143622449,-0.001658163265,-0.001219387755,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,hist,T2,centred_l2,2000,0.9084807692,0.9076813187,-0.0007994505495,-0.0009807692308,-0.0006208791209,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,hist,T2,l2,2000,0.9076840659,0.9068983516,-0.0007857142857,-0.0009697802198,-0.0006043956044,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,hist,T3,centred_l2,2000,0.8954255952,0.8943154762,-0.001110119048,-0.001324404762,-0.0009017857143,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,hist,T3,l2,2000,0.8939970238,0.8929761905,-0.001020833333,-0.001255952381,-0.0007857142857,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s11_out,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s11_out,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s11_out,T1,centred_l2,2000,0.9068239796,0.9068239796,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s11_out,T1,l2,2000,0.9059821429,0.9059821429,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s11_out,T2,centred_l2,2000,0.9101978022,0.9101978022,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s11_out,T2,l2,2000,0.9091318681,0.9091318681,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s11_out,T3,centred_l2,2000,0.8972321429,0.8972321429,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s11_out,T3,l2,2000,0.8958482143,0.8958482143,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s12_post_norm,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s12_post_norm,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s12_post_norm,T1,centred_l2,2000,0.908619898,0.9077678571,-0.0008520408163,-0.001038265306,-0.0006658163265,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s12_post_norm,T1,l2,2000,0.9080280612,0.9070076531,-0.001020408163,-0.001224553571,-0.000818877551,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s12_post_norm,T2,centred_l2,2000,0.9118846154,0.9111016484,-0.000782967033,-0.0009506181319,-0.0006153846154,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s12_post_norm,T2,l2,2000,0.9112417582,0.9104203297,-0.0008214285714,-0.001002747253,-0.0006427884615,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s12_post_norm,T3,centred_l2,2000,0.8992619048,0.8987202381,-0.0005416666667,-0.0007410714286,-0.0003392857143,0,0.005102040816,secondary
e2r_vits_mixup_saga_s2,vit_small,mixup,saga,s12_post_norm,T3,l2,2000,0.898235119,0.897514881,-0.0007202380952,-0.0009375,-0.0005029761905,0,0.005102040816,secondary
e2r_vits_nomix_saga_s1,vit_small,nomix,saga,hist,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_nomix_saga_s1,vit_small,nomix,saga,hist,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_nomix_saga_s1,vit_small,nomix,saga,hist,T1,centred_l2,2000,0.9836096939,0.9838979592,0.0002882653061,0.0001581632653,0.0004260204082,0,0.005102040816,secondary
e2r_vits_nomix_saga_s1,vit_small,nomix,saga,hist,T1,l2,2000,0.9829719388,0.9832729592,0.0003010204082,0.0001607142857,0.0004413265306,0,0.005102040816,secondary
e2r_vits_nomix_saga_s1,vit_small,nomix,saga,hist,T2,centred_l2,2000,0.9712335165,0.9713626374,0.0001291208791,1.648351648e-05,0.0002417582418,0,0.005102040816,secondary
e2r_vits_nomix_saga_s1,vit_small,nomix,saga,hist,T2,l2,2000,0.9711703297,0.9712802198,0.0001098901099,-1.098901099e-05,0.0002362637363,0,0.005102040816,secondary
e2r_vits_nomix_saga_s1,vit_small,nomix,saga,hist,T3,centred_l2,2000,0.9657410714,0.9658839286,0.0001428571429,2.976190476e-06,0.0002827380952,0,0.005102040816,secondary
e2r_vits_nomix_saga_s1,vit_small,nomix,saga,hist,T3,l2,2000,0.9658541667,0.9660029762,0.0001488095238,-1.887379142e-18,0.0003005952381,0,0.005102040816,secondary
e2r_vits_nomix_saga_s1,vit_small,nomix,saga,s11_out,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
e2r_vits_nomix_saga_s1,vit_small,nomix,saga,s11_out,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
